Layer,Name,GEOID,Longitude,Latitude,HCSDIA_2016-2018,HCSDIA_2015-2017,HCSDIA_2014-2016,HCSDIAP_2016-2018,HCSDIAP_2015-2017,HCSDIAP_2014-2016,HCSHYT_2016-2018,HCSHYT_2015-2017,HCSHYT_2014-2016,HCSHYTP_2016-2018,HCSHYTP_2015-2017,HCSHYTP_2014-2016,HCSOB_2016-2018,HCSOB_2015-2017,HCSOB_2014-2016,HCSOBP_2016-2018,HCSOBP_2015-2017,HCSOBP_2014-2016
Community area,Englewood,68,-87.642502,41.777201,3300,3600,3300,12.4,13.8,11.9,8500,9600,10600,37,42,40.7,9100,10500,11400,34.3,40.7,40.9
Community area,Greater Grand Crossing,69,-87.616139,41.763251,2500,1500,1200,12,7.3,5.5,7600,6200,6200,41.3,32.2,31.2,9700,8500,9300,47.1,40.6,42.7
Community area,Lincoln Park,7,-87.649491,41.922696,5000,2800,3300,7.5,4.6,5.9,13600,9900,10500,21,17,20.1,12900,9700,7400,19.1,15.8,13.1
Community area,Ashburn,70,-87.708363,41.745756,2500,3000,2500,7.2,8.8,8.9,9500,10400,8500,27.9,31.3,32,11200,12500,9600,31.6,36.4,33.8
Community area,Auburn Gresham,71,-87.656305,41.744203,4400,4300,4200,14,14,14.7,11000,8400,8900,38.3,30.6,34.8,13100,12900,11900,41.2,42.3,41.6
Community area,Beverly,72,-87.675072,41.713148,1300,1700,1400,7.2,9.9,6.8,3600,4400,4700,19.1,24.5,22.3,5000,5800,7200,27.2,32.6,35.9
Community area,Washington Heights,73,-87.648897,41.717495,1800,1400,1900,9.2,6.7,9.5,6800,5600,6500,38.3,28.7,36.8,7700,6600,5200,39.9,31.8,26.6
Community area,Mount Greenwood,74,-87.713189,41.694876,,600,1100,,5,8.8,1500,1300,1900,14.7,11.5,14.2,2400,1900,3200,23.6,17.1,25.1
Community area,Morgan Park,75,-87.669062,41.689729,2200,1700,2400,13.2,11.9,14.5,5000,3900,4700,37.5,34.4,33.2,7700,5800,5100,46.5,40.5,30.7
Community area,O'Hare,76,-87.893699,41.975696,,,,,,,,,2000,,,27.9,1200,2000,,13.2,25.4,
Community area,Edgewater,77,-87.663419,41.986719,4400,3600,3900,9.8,7.1,7.3,12300,12400,13200,30.5,27.1,26.6,9400,12300,12300,20.8,24.7,23.1
Community area,Near North Side,8,-87.633318,41.899611,3000,2900,4700,4.1,4.1,6.5,20000,19500,16700,29.4,29.8,25.3,13200,9800,8700,17.8,13.8,12.1
Community area,Edison Park,9,-87.81378,42.007627,,,,,,,2800,2800,5500,26.1,25.5,40.1,2000,2100,4200,18.8,19.7,32.5
