Layer,Name,GEOID,Longitude,Latitude,EDX_2016-2020,EDX_2015-2019,EDX_2014-2018,PCI_2016-2020,PCI_2015-2019,PCI_2014-2018,PCI_2013-2017,PCI_2012-2016,PCI_2011-2015,PCI_2010-2014,PCI-W_2016-2020,PCI-W_2015-2019,PCI-W_2014-2018,PCI-W_2013-2017,PCI-W_2012-2016,PCI-W_2011-2015,PCI-W_2010-2014,PCI-B_2016-2020,PCI-B_2015-2019,PCI-B_2014-2018,PCI-B_2013-2017,PCI-B_2012-2016,PCI-B_2011-2015,PCI-B_2010-2014,PCI-A_2016-2020,PCI-A_2015-2019,PCI-A_2014-2018,PCI-A_2013-2017,PCI-A_2012-2016,PCI-A_2011-2015,PCI-A_2010-2014,PCI-H_2016-2020,PCI-H_2015-2019,PCI-H_2014-2018,PCI-H_2013-2017,PCI-H_2012-2016,PCI-H_2011-2015,PCI-H_2010-2014,PCI-P_2016-2020,POV_2016-2020,POV_2015-2019,POV_2014-2018,POV_2013-2017,POV_2012-2016,POV_2011-2015,POV_2010-2014
Community area,Garfield Ridge,56,-87.764246,41.796185,0.735706972,0.735499502,0.737339798,34193.81896,32011.85393,31897.41625,31362.51267,30176.53319,29402.39364,29716.70906,43963.63913,42815.33676,42009.27899,40918.43552,38893.81504,37639.13764,37984.64581,25898.64114,21206.43355,21310.85675,21204.60508,21421.60943,24328.45512,22046.58402,34022.29718,25342.18099,24195.42603,21617.68711,22193.61752,20022.39478,25825.47005,28205.91465,25863.07008,26274.30327,25532.23152,24835.67496,23646.43249,23285.35157,15552.64517,8.477016652,8.46991025,7.466707229,7.455544546,8.502083252,8.86895226,9.699791514
Community area,Archer Heights,57,-87.726365,41.810873,0.792835011,0.796132207,0.791698407,22459.55329,22064.92233,21543.81158,22249.24996,22561.03935,21327.41055,20371.27016,37414.62424,33965.3369,31676.04362,31777.00982,29885.62702,29009.3604,26816.54514,34755.61947,34884.83845,35154.50221,34070.39064,59894.05302,14234.5587,12133.9501,24649.58738,21100.51283,19476.6428,18159.58491,17546.23544,15971.64885,21517.48377,19047.91526,17631.71097,17290.15414,18015.79715,17970.55944,17292.54536,16677.78493,28502.11668,11.11452943,14.12795579,18.15750452,18.64496333,15.40597215,14.94714975,13.25392672
Community area,Brighton Park,58,-87.698859,41.817364,0.769987463,0.757984527,0.76052019,19193.81815,18085.6281,17333.55498,16927.16793,16531.9421,15086.62252,14748.85664,31696.15066,37486.76124,36299.56339,35318.67896,36016.24647,31614.60746,25759.25869,24942.77635,12689.15932,12846.20316,13561.95887,12719.12991,10303.10331,8046.278176,25030.15265,24579.41742,22585.95193,21485.73996,21529.48779,18284.87819,16511.67926,17434.50161,16073.16659,15694.0394,15476.42819,15089.0144,13982.99568,13895.90994,22726.33886,20.55350018,23.72316803,23.59579972,24.98230399,25.92223489,27.74744159,27.66841615
Community area,McKinley Park,59,-87.6725,41.829927,0.800059349,0.813902284,0.810136797,28459.71244,24472.61105,23485.97395,22677.68068,21648.27695,20720.83092,20298.66414,39026.91409,36140.58017,33264.92157,33141.7148,31758.09091,31127.56747,27733.55459,44876.99884,22881.45338,19194.2802,23983.46924,13791.1763,14782.90313,15701.81876,29111.13429,22558.3669,23159.82689,24973.22931,23747.20489,19863.8921,19422.43407,24191.64396,21278.49278,19916.53644,18509.74685,17635.6519,17720.14769,17839.35814,46989.11528,12.90446314,19.2263801,23.26927068,26.15978243,26.08694011,28.92011003,26.54959454
Community area,Lake View,6,-87.656001,41.944236,0.368761513,0.376525968,0.375308924,79340.42557,80680.87361,77734.19737,76565.18209,74413.94324,72455.2825,70851.67314,86305.00114,84702.87192,81786.14382,80723.19926,78576.66653,76710.29575,75657.08599,48150.45694,50621.94047,46665.98935,48781.60659,48921.07885,38944.85339,34482.44055,74739.00649,77171.27583,76986.80988,76191.68977,73302.24953,74378.52842,77145.39586,48778.84279,47454.78442,45358.00101,41727.71259,40859.99504,39128.42474,35981.30948,,8.553918045,7.920006136,8.340884065,8.765066428,9.596258002,10.58384563,11.60636862
Community area,Bridgeport,60,-87.648784,41.836151,0.762505547,0.774757984,0.776528511,33484.3947,32595.53551,30629.71881,29272.44342,28183.20791,27476.18945,26141.76728,48944.36286,43477.43101,41217.53759,38619.81312,38063.60147,36659.35824,35201.24198,31756.90855,24268.71224,20019.80874,20233.79531,22440.48999,21325.35722,26031.71862,26165.20235,25410.95444,24381.0057,23645.06107,21314.41282,21643.64161,20613.43864,23645.06257,23680.99656,21918.91898,21480.35762,20596.86684,20219.34896,21296.62505,146127.6247,14.67729812,14.67960241,16.39897692,17.33955764,19.23315475,20.68785859,20.29605443
Community area,New City,61,-87.659171,41.809017,0.743406955,0.757485357,0.758764842,18864.21474,21519.99494,19416.59812,18972.34167,17460.5778,17045.24673,16548.21839,36276.25203,33573.84739,31633.82926,31541.46768,30006.31642,27928.89365,25724.089,18550.75255,17911.22681,16358.12007,15792.39007,14234.65844,12963.66042,12215.39839,35791.47681,27245.19393,27712.26562,27364.64525,25521.16628,27519.27633,28207.57659,16349.25528,14670.86898,13251.28449,12365.64555,11676.05329,11935.42234,11827.87391,20059.95476,28.87604169,24.82532523,24.94466262,27.00430451,28.38739451,29.03198333,32.25517376
Community area,West Elsdon,62,-87.724213,41.792977,0.795822812,0.787414738,0.785328821,24217.42982,23694.08721,21920.72693,21687.88241,19656.89118,18041.72789,18341.36631,40893.93309,36918.77595,32193.69881,33058.33255,31197.23557,28034.62926,26557.50115,32880.81701,18223.51523,22100.13517,20690.79154,15222.32772,16085.08125,31616.38099,19348.14091,21941.60613,26661.15196,28776.38659,32951.46466,28388.63362,28245.65231,21440.15348,20949.24633,19756.10848,19166.95298,17143.93858,15640.6222,16080.56434,17603.22693,11.63220884,9.031988493,10.76870548,10.78220484,14.25262489,19.12438598,16.26721993
Community area,Gage Park,63,-87.696433,41.795429,0.752576497,0.75271418,0.737840487,16967.25724,16772.99727,15626.5892,15352.81664,14321.44067,13985.36189,13612.39285,28306.61211,27763.1599,24060.28039,19951.13581,22751.36718,23436.42265,25704.52455,17983.06104,19276.21396,18412.06617,17470.58724,15691.23519,15605.54245,16481.21543,25630.4767,22381.8113,19962.42165,18547.59758,9533.879376,10857.27233,22714.91964,16340.43094,15993.51739,14946.32141,14846.82295,13971.45138,13469.0404,12861.23969,21487.65289,17.32596846,18.19114849,18.78894299,18.15916159,20.93202525,23.22248131,24.27803184
Community area,Clearing,64,-87.768517,41.779582,0.781015437,0.794909971,0.796018339,29077.80159,29019.49039,28936.64839,29131.69104,29281.75429,28477.68909,28555.66871,36793.82721,37445.60752,37969.24382,37279.50105,36008.34848,35197.15797,35570.72422,32944.98465,28310.725,35105.00076,30155.01526,34363.49725,35739.44576,23177.16819,20744.1939,19201.86193,35045.8241,37597.27794,32872.3895,27614.0148,29020.67122,24111.35111,22722.96239,22066.94396,21410.44582,22208.91318,20858.41109,21055.42679,12424.62112,8.099003462,8.766306366,8.832324963,9.237987739,10.53357919,9.927624719,9.404897844
