Layer,Name,GEOID,Longitude,Latitude,VRLE_2020,VRLE_2019,VRLE_2018,VRLE_2017,VRLE_2016,VRLE_2015,VRLE_2014,POP_2016-2020,POP_2015-2019,POP_2014-2018,POP_2013-2017,POP_2012-2016,POP_2011-2015,POP_2010-2014,POP-M_2016-2020,POP-F_2016-2020,POP-W_2016-2020,POP-W_2015-2019,POP-W_2014-2018,POP-W_2013-2017,POP-W_2012-2016,POP-W_2011-2015,POP-B_2016-2020,POP-B_2015-2019,POP-B_2014-2018,POP-B_2013-2017,POP-B_2012-2016,POP-B_2011-2015,POP-A_2016-2020,POP-A_2015-2019,POP-A_2014-2018,POP-A_2013-2017,POP-A_2012-2016,POP-A_2011-2015,POP-H_2016-2020,POP-H_2015-2019,POP-H_2014-2018,POP-H_2013-2017,POP-H_2012-2016,POP-H_2011-2015,POP-P_2016-2020,POP-P_2015-2019,POP-Q_2016-2020,POP-Q_2015-2019
Community area,East Garfield Park,27,-87.70589200,41.87892300,66.072412736,67.725109634,67.92824583,67.6843,68.7291,70.1,71.7,18084.3355527055,18950.718601,19741.443049,20011.544753,20236.511188,20667.067689,20274.810759,7896.30915283795,10188.0263998675,1073.19564088769,1127.341547,1171.01967,1118.195894,1073.765004,874.997147,15341.3558828494,16831.276633,17384.316287,17814.051733,18243.159261,18921.081506,159.82871302553,119.984368,126.120674,146.089117,81.536423,58.284597,871.727976021878,544.664537,709.088564,723.303542,716.669079,732.600461,9.75783556471981,8.78205200824783,571.471020088843,395.917864478262
Community area,Near West Side,28,-87.66351300,41.87401600,74.86371761,75.963707652,76.00864061,76.3446,78.3829,78.5,78.4,62766.1567784722,63280.09464,62849.548123,62996.705686,62685.388131,61902.809226,59030.000296,30605.2434670469,32160.9133114253,27319.7805114358,27327.833623,25983.619483,26158.1281,26103.805677,25911.595266,15210.1043129015,17076.758459,17762.412919,18458.597697,18891.863765,19285.418638,11605.993400166,11285.597532,11676.401982,10789.197823,10318.61489,9667.776615,6353.41008244679,5917.860322,5974.004208,6334.54914,6201.534937,6292.297401,24.5610221026854,28.5708659570451,1993.80949147132,1673.72104218874
Community area,North Lawndale,29,-87.71721800,41.86019700,67.288931063,69.141987323,67.88485659,68.0885,69.9699,71.7,71.8,31334.2525426494,32086.480035,33869.156585,35958.684284,35437.384291,35295.409145,35638.343469,13999.3117275315,17334.940815118,1496.5614459153,1159.862652,1020.000226,968.990779,798.558113,812.300329,25858.3480851309,27738.592116,29991.568298,31607.911385,31394.428766,31669.716423,71.1901300289707,63.465642,67.087381,83.672038,90.027772,105.626678,3551.38710287823,2997.928075,3024.31614,3176.381482,2937.645491,2519.33636,0.0723517403839238,85.1293414628198,199.474148698362,153.288646892727
Community area,Uptown,3,-87.65589900,41.96582200,75.321213261,76.005644552,75.97679257,76.1421,76.1365,76.6,76.9,54218.9703741876,53663.317254,53226.524065,52550.054922,50931.36239,49755.231574,48729.286753,27502.8783517324,26716.0920224552,28720.8972410595,29084.34929,28754.579156,28659.977451,27733.897134,27734.309134,10105.2351190621,9790.090099,9569.649733,9615.462991,10008.458127,10347.097374,5203.60467767215,5390.048394,4968.738838,4977.316998,4959.093388,4102.723488,8357.79043996822,8068.655742,8359.113196,7799.485713,6968.721736,5865.326311,241.899450345784,229.768018918401,1546.41207532039,1329.78152631316
Community area,South Lawndale,30,-87.71400000,41.83909100,74.933882485,78.927058256,79.41368811,80.4736,80.6611,80.7,81.4,70139.3543299495,72091.383081,74861.506106,74781.498589,73926.961004,73793.001665,72847.130984,40409.7659284025,29729.588401547,3878.19008866702,3111.502753,3058.014436,2854.90625,2542.539143,2262.359867,8976.4781134051,9377.366471,9513.901585,9391.268751,8927.928342,8189.582103,270.129423777701,105.664232,122.798185,151.580343,207.949512,186.55283,56773.256845206,59900.696265,62360.389446,62539.027231,62158.897025,62975.131654,19.2062034909716,14.2165605392363,209.937995894938,153.528723926902
Community area,Lower West Side,31,-87.66757000,41.85027700,78.49617306,80.948944574,80.36008176,80.2423,81.1149,82.0,81.8,32642.4664720696,33050.021824,32628.265723,32713.49154,32820.145112,34213.661263,34770.858467,16516.5650698022,16125.9014022674,7283.10903831072,6919.660968,5880.301328,5253.910033,4944.908476,4611.00215,1021.47938272634,1274.939715,1240.205996,1351.521911,1446.549922,1226.64839,1571.91730321555,1372.093832,1128.930174,845.406258,757.009065,642.680597,22174.5270617655,23155.940339,24097.566457,24923.668498,25489.620963,27455.660761,12.5381808578241,67.4346241684839,561.224636785512,398.055898524421
Community area,Loop,32,-87.62519400,41.87888100,80.10008294,81.246381842,81.94713272,81.625,82.0031,81.6,82.5,36590.6946758823,35958.497534,34990.447976,33303.927052,32491.577312,30866.547384,28385.05926,18378.4782983687,18212.2163775136,21419.6001165717,22438.993682,21905.640768,20838.213192,20337.798853,18914.188131,2469.80676436777,2710.815096,2977.238073,3486.268957,3485.948247,3570.380047,7978.47510692256,6626.082046,6251.251623,5854.046811,5795.741825,5431.465668,3477.49686322002,3095.14676,2902.668796,2305.917138,1978.580752,2065.514278,249.334732247071,50.6290249502279,922.086706276111,701.01653846191
Community area,Near South Side,33,-87.62034400,41.85719600,77.251952693,79.443563518,80.81955992,80.0532,79.3736,78.8,78.9,24506.381140171,19810.006139,19484.53868,18986.562692,18635.564013,18052.282283,17765.418553,10905.0972038786,13601.2839362925,12594.4698573174,10477.85199,9225.250832,8869.727626,8331.565088,8352.438734,5793.00499183082,4957.674725,5001.809985,4666.133211,4557.858268,4468.113845,4440.71625341233,2841.208423,4008.021023,4103.754645,4340.816807,3594.053876,1008.99683910653,1070.101672,774.882649,968.965935,974.248311,1093.098311,0.0656033698703238,0.0620490900663954,632.491579406132,119.133234735149
Community area,Armour Square,34,-87.63397600,41.84208300,80.024808784,80.733412993,80.90039328,80.4189,80.5668,80.1,80.8,13395.5493308042,13585.42411,13768.807975,13447.800084,13679.629228,14047.229415,13885.141833,6160.57227562996,7234.97705517429,1892.55608781121,1912.94514,1716.789086,1750.311331,1621.771576,1568.048266,1156.55862673711,1133.465735,1387.959391,1215.268928,1245.003317,1342.567439,9469.50117550607,9874.500433,9988.65378,9795.22821,10251.07213,10274.53518,762.577386975533,611.177546,607.430325,550.249221,433.656945,450.131294,0.0,7.9993817225228,90.3607080086522,45.7916356577829
Community area,Douglas,35,-87.61868000,41.83512200,71.31296602,72.076329935,72.63753356,74.0149,73.9971,74.0,73.8,18822.8413807255,18763.463356,18569.041984,18059.663153,17889.662968,17595.361599,16719.490204,8599.4966481434,10223.3447325821,2143.18540268893,2256.237785,2258.753485,2147.247372,2198.06047,2022.19878,12486.5582035713,12853.543794,12878.409633,13003.170675,12765.212467,12640.984466,2305.20018586761,2380.105793,2311.748195,2013.395331,1986.238474,2169.585203,1095.82965016002,691.941889,676.702007,605.91412,609.23275,455.120024,8.44276656795408,11.6060746493891,528.836541721429,492.173477952371
