Layer,Name,GEOID,Longitude,Latitude,VRCHD_2015-2019,VRCHD_2014-2018,VRCHD_2013-2017,VRCHD_2012-2016,VRCHD_2011-2015,VRCHD_2010-2014,VRCHDR_2015-2019,VRCHDR_2014-2018,VRCHDR_2013-2017,VRCHDR_2012-2016,VRCHDR_2011-2015,VRCHDR_2010-2014,VRDIA_2015-2019,VRDIA_2014-2018,VRDIA_2013-2017,VRDIA_2012-2016,VRDIA_2011-2015,VRDIA_2010-2014,VRDIAR_2015-2019,VRDIAR_2014-2018,VRDIAR_2013-2017,VRDIAR_2012-2016,VRDIAR_2011-2015,VRDIAR_2010-2014,VRDIB_2015-2019,VRDIB_2014-2018,VRDIB_2013-2017,VRDIB_2012-2016,VRDIB_2011-2015,VRDIB_2010-2014,VRDIBR_2015-2019,VRDIBR_2014-2018,VRDIBR_2013-2017,VRDIBR_2012-2016,VRDIBR_2011-2015,VRDIBR_2010-2014,VRHD_2015-2019,VRHD_2014-2018,VRHD_2013-2017,VRHD_2012-2016,VRHD_2011-2015,VRHD_2010-2014,VRHDR_2015-2019,VRHDR_2014-2018,VRHDR_2013-2017,VRHDR_2012-2016,VRHDR_2011-2015,VRHDR_2010-2014
Community area,Fuller Park,37,-87.63242700,41.80908200,18.0,25.0,31.0,34.0,39.0,46.0,91.9,126.8,168.2,181.8,209.3,248.5,4.0,3.0,2.0,4.0,6.0,7.0,20.0,14.9,10.4,20.8,33.3,37.5,13.0,12.0,13.0,15.0,18.0,17.0,65.1,60.0,70.2,79.7,95.2,90.9,64.0,70.0,69.0,68.0,72.0,76.0,333.9,369.3,381.8,369.0,391.7,425.7
Community area,Grand Boulevard,38,-87.61786000,41.81294700,120.0,131.0,131.0,139.0,149.0,160.0,102.9,111.8,109.7,117.1,125.1,135.4,44.0,41.0,38.0,41.0,36.0,35.0,36.9,34.5,32.1,35.1,30.8,29.9,88.0,87.0,90.0,93.0,94.0,95.0,74.7,73.8,76.7,79.5,80.4,81.1,304.0,313.0,308.0,316.0,322.0,330.0,260.9,267.7,261.2,269.8,273.6,280.8
Community area,Kenwood,39,-87.59618600,41.80891800,78.0,82.0,85.0,77.0,90.0,95.0,71.4,74.9,75.2,68.7,79.9,85.6,22.0,20.0,21.0,23.0,24.0,26.0,20.1,18.3,18.7,20.9,22.3,24.7,45.0,45.0,43.0,44.0,45.0,47.0,40.3,40.3,38.3,39.5,40.9,44.1,182.0,188.0,187.0,181.0,178.0,179.0,163.0,169.3,164.9,160.3,157.2,160.8
Community area,Lincoln Square,4,-87.68751300,41.97518200,142.0,159.0,113.0,151.0,187.0,194.0,97.1,107.7,78.8,104.3,129.2,134.3,46.0,48.0,25.0,37.0,43.0,43.0,31.0,31.9,16.8,24.8,29.2,29.1,83.0,87.0,55.0,74.0,92.0,96.0,56.7,59.0,38.6,51.6,63.9,65.6,242.0,254.0,172.0,227.0,280.0,292.0,165.8,172.8,118.6,155.7,192.9,201.7
Community area,Washington Park,40,-87.61793600,41.79235600,40.0,46.0,45.0,58.0,58.0,62.0,100.2,122.3,118.4,153.8,150.0,161.8,20.0,18.0,13.0,14.0,14.0,12.0,53.0,47.9,36.7,36.3,35.3,25.9,40.0,41.0,31.0,38.0,39.0,39.0,102.8,106.0,82.4,100.9,100.8,96.0,116.0,121.0,114.0,137.0,144.0,144.0,296.5,310.2,286.5,350.4,361.0,365.5
Community area,Hyde Park,41,-87.59230500,41.79408800,83.0,98.0,103.0,112.0,110.0,107.0,64.5,75.9,76.2,83.3,80.5,78.5,18.0,15.0,20.0,20.0,17.0,13.0,14.1,11.8,15.6,15.6,13.4,10.0,45.0,40.0,47.0,46.0,45.0,41.0,35.0,31.3,36.7,35.8,35.8,32.3,206.0,208.0,207.0,207.0,194.0,187.0,161.3,162.8,152.7,153.2,142.9,136.9
Community area,Woodlawn,42,-87.59492400,41.77887700,129.0,133.0,127.0,123.0,131.0,143.0,124.9,126.2,118.7,117.2,123.5,133.8,32.0,45.0,43.0,42.0,46.0,46.0,29.8,42.5,40.8,40.8,44.4,44.2,74.0,87.0,87.0,88.0,96.0,102.0,67.8,80.9,80.5,83.3,90.2,96.5,272.0,267.0,254.0,253.0,260.0,276.0,259.4,252.7,238.9,240.4,245.8,260.3
Community area,South Shore,43,-87.57279000,41.76158300,293.0,313.0,335.0,348.0,365.0,373.0,103.4,109.5,116.4,121.0,127.4,131.7,134.0,128.0,132.0,129.0,129.0,119.0,48.1,45.6,47.8,46.8,46.8,43.2,254.0,255.0,249.0,254.0,269.0,261.0,90.2,89.7,88.5,90.1,95.9,93.5,731.0,750.0,748.0,763.0,765.0,754.0,257.1,263.9,261.3,266.7,268.9,267.0
Community area,Chatham,44,-87.61596500,41.74020600,214.0,221.0,235.0,249.0,260.0,252.0,103.6,106.8,105.9,112.9,118.9,115.1,60.0,65.0,68.0,62.0,53.0,51.0,29.4,32.8,34.8,32.0,27.5,26.6,144.0,155.0,154.0,143.0,141.0,139.0,72.0,78.5,76.8,70.8,70.1,68.0,510.0,495.0,488.0,495.0,499.0,490.0,251.5,243.5,226.6,231.0,234.4,229.7
Community area,Avalon Park,45,-87.58634700,41.74419700,61.0,63.0,73.0,84.0,83.0,90.0,81.3,84.2,102.9,117.7,115.6,125.6,23.0,21.0,21.0,22.0,20.0,24.0,32.2,28.9,28.6,30.2,27.2,32.7,47.0,50.0,52.0,54.0,55.0,64.0,63.9,67.0,70.8,73.6,73.8,86.1,154.0,150.0,154.0,163.0,157.0,161.0,206.8,200.5,214.2,226.6,219.0,225.1
